volume,risk_weight,max_share,min_supplier,status,baseline_cost,optimized_cost,baseline_emissions,optimized_emissions,baseline_deforestation,optimized_deforestation,supplier_count,total_volume_sourced,timestamp
100000,0.0,0.6,11,completed,1014.0376449367672,964.8959474213465,1.683494291105607,1.9911643429355894,0.008206495222097186,0.013775813936163438,11,100000.0,2026-01-09T20:51:58.266086
100000,0.0,0.7,3,completed,1014.0376449367672,958.9574923868416,1.683494291105607,2.0490102680421534,0.008206495222097186,0.014748836080615588,3,100000.0,2026-01-09T20:52:20.830257
100000,0.0,0.7,5,completed,1014.0376449367672,961.6778810351719,1.683494291105607,2.041069407288392,0.008206495222097186,0.01452455295995734,5,100000.0,2026-01-09T20:52:43.253746
100000,0.0,0.7,7,completed,1014.0376449367672,962.0921734630089,1.683494291105607,2.0234643670712087,0.008206495222097186,0.014276892173084723,7,100000.0,2026-01-09T20:53:05.231314
100000,0.0,0.7,9,completed,1014.0376449367672,964.4154758272041,1.683494291105607,2.011264229111472,0.008206495222097186,0.014122857609787482,9,100000.0,2026-01-09T20:53:27.291373
100000,0.0,0.7,11,completed,1014.0376449367672,966.8952703326177,1.683494291105607,2.0159692167494767,0.008206495222097186,0.01397899585373715,11,100000.0,2026-01-09T20:53:49.215049
100000,0.25,0.3,3,completed,1014.0376449367672,958.77306794573,1.683494291105607,1.5815740882867464,0.008206495222097186,0.00983453503477015,4,100000.0,2026-01-09T20:54:11.990877
100000,0.25,0.3,5,completed,1014.0376449367672,958.2252749702619,1.683494291105607,1.5780798670745457,0.008206495222097186,0.009772514578203134,5,100000.0,2026-01-09T20:54:34.762721
100000,0.25,0.3,7,completed,1014.0376449367672,958.9409307714332,1.683494291105607,1.5753873763826545,0.008206495222097186,0.009688006365508445,7,100000.0,2026-01-09T20:54:57.546789
100000,0.25,0.3,9,completed,1014.0376449367672,955.023727194432,1.683494291105607,1.5457563104849978,0.008206495222097186,0.009561173249834245,9,100000.0,2026-01-09T20:55:20.130649
100000,0.25,0.3,11,completed,1014.0376449367672,948.7644862499325,1.683494291105607,1.519794526692291,0.008206495222097186,0.009433019155566179,11,100000.0,2026-01-09T20:55:42.986409
100000,0.25,0.4,3,completed,1014.0376449367672,951.1515368239533,1.683494291105607,1.7474871521504636,0.008206495222097186,0.01189412025539986,3,100000.0,2026-01-09T20:56:05.482206
100000,0.25,0.4,5,completed,1014.0376449367672,952.6890387361939,1.683494291105607,1.7617178288244895,0.008206495222097186,0.011923830643516918,5,100000.0,2026-01-09T20:56:27.850086
100000,0.25,0.4,7,completed,1014.0376449367672,955.489989425074,1.683494291105607,1.7767502360188243,0.008206495222097186,0.011931053275506307,7,100000.0,2026-01-09T20:56:50.173394
100000,0.25,0.4,9,completed,1014.0376449367672,953.6580807357815,1.683494291105607,1.7648440680073947,0.008206495222097186,0.011895951004516183,9,100000.0,2026-01-09T20:57:12.635992
100000,0.25,0.4,11,completed,1014.0376449367672,949.4841346789907,1.683494291105607,1.7566071821009142,0.008206495222097186,0.011859527754932191,11,100000.0,2026-01-09T20:57:34.817384
100000,0.25,0.5,3,completed,1014.0376449367672,953.9161991204455,1.683494291105607,1.9905380714712653,0.008206495222097186,0.014296606823126133,3,100000.0,2026-01-09T20:57:56.691398
100000,0.25,0.5,5,completed,1014.0376449367672,955.3731389921365,1.683494291105607,1.9817954801971949,0.008206495222097186,0.01409481145859555,5,100000.0,2026-01-09T20:58:18.579267
100000,0.25,0.5,7,completed,1014.0376449367672,958.0935276404668,1.683494291105607,1.9738546194434334,0.008206495222097186,0.013870528337937303,7,100000.0,2026-01-09T20:58:40.506822
100000,0.25,0.5,9,completed,1014.0376449367672,956.181056910625,1.683494291105607,1.9389751834839075,0.008206495222097186,0.013603920314299536,9,100000.0,2026-01-09T20:59:02.478042
100000,0.25,0.5,11,completed,1014.0376449367672,951.9265488132845,1.683494291105607,1.907765029629331,0.008206495222097186,0.01333599131206791,11,100000.0,2026-01-09T20:59:24.526530
100000,0.25,0.6,3,completed,1014.0376449367672,955.9155220317166,1.683494291105607,2.015342945285153,0.008206495222097186,0.01449978874069984,3,100000.0,2026-01-09T20:59:46.035975
100000,0.25,0.6,5,completed,1014.0376449367672,957.3724619034074,1.683494291105607,2.006600354011083,0.008206495222097186,0.01429799337616926,5,100000.0,2026-01-09T21:00:07.895568
100000,0.25,0.6,7,completed,1014.0376449367672,960.0928505517377,1.683494291105607,1.9986594932573207,0.008206495222097186,0.014073710255511011,7,100000.0,2026-01-09T21:00:29.772309
100000,0.25,0.6,9,completed,1014.0376449367672,958.1803798218958,1.683494291105607,1.9637800572977948,0.008206495222097186,0.013807102231873246,9,100000.0,2026-01-09T21:00:51.420607
100000,0.25,0.6,11,completed,1014.0376449367672,953.9258717245553,1.683494291105607,1.9325699034432182,0.008206495222097186,0.013539173229641622,11,100000.0,2026-01-09T21:01:13.105900
100000,0.25,0.7,3,completed,1014.0376449367672,957.9148449429873,1.683494291105607,2.0401478190990403,0.008206495222097186,0.01470297065827355,3,100000.0,2026-01-09T21:01:34.875996
100000,0.25,0.7,5,completed,1014.0376449367672,959.3717848146783,1.683494291105607,2.03140522782497,0.008206495222097186,0.014501175293742972,5,100000.0,2026-01-09T21:01:56.747848
100000,0.25,0.7,7,completed,1014.0376449367672,962.0921734630089,1.683494291105607,2.0234643670712087,0.008206495222097186,0.014276892173084723,7,100000.0,2026-01-09T21:02:18.619105
100000,0.25,0.7,9,completed,1014.0376449367672,960.1797027331667,1.683494291105607,1.9885849311116823,0.008206495222097186,0.014010284149446956,9,100000.0,2026-01-09T21:02:40.583891
100000,0.25,0.7,11,completed,1014.0376449367672,955.9251946358263,1.683494291105607,1.9573747772571057,0.008206495222097186,0.013742355147215333,11,100000.0,2026-01-09T21:03:02.597119
100000,0.5,0.3,3,completed,1014.0376449367672,952.1708391566752,1.683494291105607,0.7152637215000265,0.008206495222097186,0.0006476758185862499,5,100000.0,2026-01-09T21:03:25.138246
100000,0.5,0.3,5,completed,1014.0376449367672,952.1708391566752,1.683494291105607,0.7152637215000265,0.008206495222097186,0.0006476758185862499,5,100000.0,2026-01-09T21:03:47.577830
100000,0.5,0.3,7,completed,1014.0376449367672,957.3256667777431,1.683494291105607,0.7025640157541451,0.008206495222097186,0.0006476758185862499,7,100000.0,2026-01-09T21:04:10.380220
100000,0.5,0.3,9,completed,1014.0376449367672,964.3826716550537,1.683494291105607,0.6926053709062788,0.008206495222097186,0.0006476758185862499,9,100000.0,2026-01-09T21:04:33.230602
100000,0.5,0.3,11,completed,1014.0376449367672,971.772433614251,1.683494291105607,0.7548109155051678,0.008206495222097186,0.0006531819595805939,11,100000.0,2026-01-09T21:04:56.018601
